date,IaaS
2018-01-20,79.28571428571429
2018-01-21,79.0
2018-01-22,79.14285714285714
2018-01-23,79.28571428571429
2018-01-24,79.42857142857143
2018-01-25,79.57142857142857
2018-01-26,79.71428571428571
2018-01-27,79.85714285714286
2018-01-28,80.0
2018-01-29,80.28571428571429
2018-01-30,80.57142857142857
2018-01-31,80.85714285714286
2018-02-01,81.14285714285714
2018-02-02,81.42857142857143
2018-02-03,81.71428571428571
2018-02-04,82.0
2018-02-05,81.57142857142857
2018-02-06,81.14285714285714
2018-02-07,80.71428571428571
2018-02-08,80.28571428571429
2018-02-09,79.85714285714286
2018-02-10,79.42857142857143
2018-02-11,79.0
2018-02-12,79.42857142857143
2018-02-13,79.85714285714286
2018-02-14,80.28571428571429
2018-02-15,80.71428571428571
2018-02-16,81.14285714285714
2018-02-17,81.57142857142857
2018-02-18,82.0
2018-02-19,82.14285714285714
2018-02-20,82.28571428571429
2018-02-21,82.42857142857143
2018-02-22,82.57142857142857
2018-02-23,82.71428571428571
2018-02-24,82.85714285714286
2018-02-25,83.0
2018-02-26,83.71428571428571
2018-02-27,84.42857142857143
2018-02-28,85.14285714285714
2018-03-01,85.85714285714286
2018-03-02,86.57142857142857
2018-03-03,87.28571428571429
2018-03-04,88.0
2018-03-05,87.85714285714286
2018-03-06,87.71428571428571
2018-03-07,87.57142857142857
2018-03-08,87.42857142857143
2018-03-09,87.28571428571429
2018-03-10,87.14285714285714
2018-03-11,87.0
2018-03-12,87.85714285714286
2018-03-13,88.71428571428571
2018-03-14,89.57142857142857
2018-03-15,90.42857142857143
2018-03-16,91.28571428571429
2018-03-17,92.14285714285714
2018-03-18,93.0
2018-03-19,92.0
2018-03-20,91.0
2018-03-21,90.0
2018-03-22,89.0
2018-03-23,88.0
2018-03-24,87.0
2018-03-25,86.0
2018-03-26,86.57142857142857
2018-03-27,87.14285714285714
2018-03-28,87.71428571428571
2018-03-29,88.28571428571429
2018-03-30,88.85714285714286
2018-03-31,89.42857142857143
2018-04-01,90.0
2018-04-02,91.42857142857143
2018-04-03,92.85714285714286
2018-04-04,94.28571428571429
2018-04-05,95.71428571428571
2018-04-06,97.14285714285714
2018-04-07,98.57142857142857
2018-04-08,100.0
2018-04-09,98.57142857142857
2018-04-10,97.14285714285714
2018-04-11,95.71428571428571
2018-04-12,94.28571428571429
2018-04-13,92.85714285714286
2018-04-14,91.42857142857143
2018-04-15,90.0
2018-04-16,89.71428571428571
2018-04-17,89.42857142857143
2018-04-18,89.14285714285714
2018-04-19,88.85714285714286
2018-04-20,88.57142857142857
2018-04-21,88.28571428571429
2018-04-22,88.0
2018-04-23,86.42857142857143
2018-04-24,84.85714285714286
2018-04-25,83.28571428571429
2018-04-26,81.71428571428571
2018-04-27,80.14285714285714
2018-04-28,78.57142857142857
2018-04-29,77.0
2018-04-30,79.42857142857143
2018-05-01,81.85714285714286
2018-05-02,84.28571428571428
2018-05-03,86.71428571428571
2018-05-04,89.14285714285714
2018-05-05,91.57142857142857
2018-05-06,94.0
2018-05-07,92.42857142857143
2018-05-08,90.85714285714286
2018-05-09,89.28571428571429
2018-05-10,87.71428571428571
2018-05-11,86.14285714285714
2018-05-12,84.57142857142857
2018-05-13,83.0
